h,c,phi,lambda_peak,class_code
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,14.860994818258504,1
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,,0
2.0,0.0,0.0625,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,,0
2.0,0.0,0.125,14.860994818258504,1
2.0,0.0,0.125,14.860994818258504,1
