level,held_group,param,valid,score,training_groups,tied_best,selected
L3b,4000:10:3:20#L70,0.25,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,4000:10:3:20#L70,0.30000000000000004,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,4000:10:3:20#L70,0.3500000000000001,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,4000:10:3:20#L70,0.4,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,4000:10:3:20#L70,0.45000000000000007,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,4000:10:3:20#L70,0.5,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '500:10:2:5#L65', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,500:10:2:5#L65,-0.5,False,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L3b,500:10:2:5#L65,-0.45,False,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L3b,500:10:2:5#L65,-0.4,False,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L3b,500:10:2:5#L65,-0.35,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",True,True
L3b,500:10:2:5#L65,-0.3,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,500:10:2:5#L65,-0.25,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,500:10:2:5#L65,-0.19999999999999996,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,500:10:2:5#L65,-0.14999999999999997,True,0.0625,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L3b,500:10:2:5#L65,-0.09999999999999998,True,0.0625,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L3b,500:10:2:5#L65,-0.04999999999999999,True,0.125,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L3b,500:10:2:5#L65,0.0,True,0.1875,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L3b,500:10:2:5#L65,0.050000000000000044,True,0.4375,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L3b,500:10:2:5#L65,0.10000000000000009,True,0.4375,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L3b,500:10:2:5#L65,0.15000000000000002,True,0.3125,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L3b,500:10:2:5#L65,0.20000000000000007,True,0.0625,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",False,False
L3b,500:10:2:5#L65,0.25,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,500:10:2:5#L65,0.30000000000000004,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,500:10:2:5#L65,0.3500000000000001,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,500:10:2:5#L65,0.4,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,500:10:2:5#L65,0.45000000000000007,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,500:10:2:5#L65,0.5,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:20:2:15#L2', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,-0.5,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,True
L3b,500:20:2:15#L2,-0.45,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,-0.4,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,-0.35,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,-0.3,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,-0.25,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,-0.19999999999999996,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,-0.14999999999999997,True,0.0625,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",False,False
L3b,500:20:2:15#L2,-0.09999999999999998,True,0.0625,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",False,False
L3b,500:20:2:15#L2,-0.04999999999999999,True,0.125,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",False,False
L3b,500:20:2:15#L2,0.0,True,0.125,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",False,False
L3b,500:20:2:15#L2,0.050000000000000044,True,0.125,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",False,False
L3b,500:20:2:15#L2,0.10000000000000009,True,0.125,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",False,False
L3b,500:20:2:15#L2,0.15000000000000002,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,0.20000000000000007,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,0.25,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,0.30000000000000004,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,0.3500000000000001,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,0.4,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,0.45000000000000007,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:20:2:15#L2,0.5,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:5:1:25#L112']",True,False
L3b,500:5:1:25#L112,-0.5,False,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",False,False
L3b,500:5:1:25#L112,-0.45,False,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",False,False
L3b,500:5:1:25#L112,-0.4,False,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",False,False
L3b,500:5:1:25#L112,-0.35,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,True
L3b,500:5:1:25#L112,-0.3,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
L3b,500:5:1:25#L112,-0.25,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
L3b,500:5:1:25#L112,-0.19999999999999996,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
L3b,500:5:1:25#L112,-0.14999999999999997,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
L3b,500:5:1:25#L112,-0.09999999999999998,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
L3b,500:5:1:25#L112,-0.04999999999999999,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
L3b,500:5:1:25#L112,0.0,True,0.0625,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",False,False
L3b,500:5:1:25#L112,0.050000000000000044,True,0.3125,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",False,False
L3b,500:5:1:25#L112,0.10000000000000009,True,0.3125,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",False,False
L3b,500:5:1:25#L112,0.15000000000000002,True,0.3125,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",False,False
L3b,500:5:1:25#L112,0.20000000000000007,True,0.0625,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",False,False
L3b,500:5:1:25#L112,0.25,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
L3b,500:5:1:25#L112,0.30000000000000004,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
L3b,500:5:1:25#L112,0.3500000000000001,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
L3b,500:5:1:25#L112,0.4,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
L3b,500:5:1:25#L112,0.45000000000000007,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
L3b,500:5:1:25#L112,0.5,True,0.0,"['1000:40:2:25#L89', '1000:40:4:15#L56', '223:5:5:20#L105', '4000:10:3:20#L70', '500:10:2:5#L65', '500:20:2:15#L2']",True,False
